are:	parameters		p	q	r	s
-121.7632	46.8492	0.81	1.5295912371	-0.128963594583	-121.757804542	46.9781109182
-119.7605	46.738	1.03	2.90408761099	-0.18341991062	-119.745980632	46.9211507168
-119.7652	46.7342	0.05	2.90107644866	-0.187388419706	-119.750382856	46.92131399
-121.9555	46.8563	4.03	1.39793677381	-0.12545883235	-121.950701894	46.9817160206
-122.585	47.1673	22.69	0.961953771889	0.175987344601	-122.589659574	46.9913412636
-120.9922	46.7782	15.52	2.05932269371	-0.182267438905	-120.981951523	46.9603327209
-119.9293	46.8912	1.64	2.78061122672	-0.0365568391899	-119.926520882	46.9277075054
-120.3515	46.799	5.50	2.49672677996	-0.142860651154	-120.341761715	46.9417054386
-121.9002	47.179	4.30	1.42709205794	0.198125298432	-121.907981961	46.9809455856
-120.3618	46.8565	5.42	2.48701489872	-0.085750295483	-120.355971156	46.9421577546
-121.0857	46.8247	2.43	1.99360794631	-0.138218676411	-121.078169322	46.9628228442
-120.7997	46.8457	1.07	2.18829260934	-0.109602973533	-120.793143902	46.9552113933
-121.9758	46.8625	8.79	1.3838994982	-0.119621301404	-121.971270522	46.9820812924
-121.9713	46.863	8.02	1.38696241258	-0.119041896701	-121.966782452	46.9820019047
-120.3967	47.0912	0.52	2.45238694892	0.147599380097	-120.406637208	46.9437561894
-120.4322	47.1065	11.93	2.42754624271	0.161778054154	-120.442984861	46.9448890747
-121.7593	46.8722	0.08	1.53159977736	-0.105896796368	-121.754861875	46.9780534096
-121.9693	46.8682	7.96	1.38819468581	-0.113808221362	-121.964976813	46.981969916
-120.2645	46.83	4.47	2.55474048337	-0.109091087602	-120.256886984	46.9389669276
-121.9318	47.0283	14.82	1.40959826222	0.0469065572663	-121.933614689	46.9814097697
-120.2557	46.8148	5.33	2.56148025292	-0.123986530854	-120.247027187	46.9386447134
-122.6305	47.073	39.06	0.932673195648	0.0811520685513	-122.632579581	46.9918603107
-119.6423	46.8563	12.89	2.97839885319	-0.0608620553477	-119.637348535	46.9170679029
-119.6192	46.8283	16.87	2.99573501273	-0.0879381902596	-119.612008018	46.9161006377
-119.2217	46.8877	0.02	3.26361646388	-0.0127675697621	-119.220561608	46.9004438487
-121.6147	46.8248	7.55	1.63185225062	-0.150357062053	-121.607992488	46.9750871971
-119.2158	46.8833	0.02	3.26790959231	-0.0169135729559	-119.214290089	46.900182069
-122.2045	47.1803	13.79	1.2202892898	0.194283812065	-122.211026208	46.9860670182
-121.76	46.8487	2.38	1.53179318913	-0.129400874576	-121.754578512	46.9780478679
-122.6468	47.1148	19.88	0.920851539715	0.122752943031	-122.649908216	46.9920653249
-121.215	46.9942	9.25	1.89917166333	0.0279574948119	-121.216455794	46.9662601532
-121.2237	46.9993	3.91	1.89306070495	0.0328437558873	-121.225404898	46.9664768454
-121.2223	47.0057	9.02	1.89378808591	0.039273566965	-121.224339692	46.9664510893
-121.9523	46.8292	9.45	1.40083248168	-0.152492437597	-121.946458888	46.9816402115
-122.2095	46.9738	1.70	1.22161047637	-0.0122400338362	-122.20908999	46.986036837
-121.7957	47.0728	18.77	1.50108282081	0.0939180570454	-121.799572249	46.9789190434
-121.0298	46.8432	0.02	2.03112862412	-0.118296110897	-121.023231438	46.9614109485
-121.6622	46.8418	0.78	1.59885874496	-0.134344067187	-121.656326008	46.9760841214
-121.8618	47.0965	10.10	1.45543471722	0.116361838523	-121.866453923	46.980181395
-120.807	46.8092	5.57	2.18479067969	-0.146276301898	-120.798270127	46.9553545521
-121.9577	46.8598	8.84	1.39634163217	-0.121999253149	-121.953039219	46.9817577141
-121.8845	47.0908	16.76	1.44014088408	0.110244479548	-121.888862501	46.9805956208
-120.6918	46.9193	6.79	2.25892274625	-0.0330046228173	-120.689759394	46.9522751978
-120.0087	46.8905	3.64	2.72645776669	-0.0400455569628	-120.005714791	46.9304935973
-122.5195	46.8653	20.97	1.01218374657	-0.125135896585	-122.516033539	46.9904135023
-121.9738	46.9322	12.67	1.38346423364	-0.0499092638423	-121.971908314	46.9820925598
-123.9298	46.9433	34.78	0.0479270856485	-0.0566785269877	-123.929725531	46.9999785042
-119.745	46.8488	2.68	2.90868238138	-0.0722077802062	-119.739263276	46.9209012509
-122.5075	46.926	23.34	1.01923060771	-0.0642912497508	-122.505704606	46.9902795703
-121.9375	46.919	11.09	1.40859118311	-0.0624579821591	-121.935090322	46.9814363176
-121.937	46.9137	14.22	1.40907211689	-0.0677471548338	-121.934385629	46.9814236419
-121.5612	46.9178	5.36	1.66554717814	-0.0562753749679	-121.558633305	46.9740480883
-121.5513	46.9292	6.14	1.67194984106	-0.0446700711535	-121.54925436	46.9738482403
-121.7558	46.8518	1.00	1.53457573405	-0.126219957964	-121.750501881	46.9779680634
-121.7545	46.8515	1.45	1.53547302211	-0.126494365862	-121.749187291	46.9779422979
-121.7697	46.8572	1.95	1.52491985283	-0.121093545476	-121.764648504	46.9782443779
-121.7628	46.8523	0.34	1.52977619061	-0.12585704864	-121.75753357	46.9781056258
-121.572	46.9188	8.57	1.65814284233	-0.0555049219139	-121.569479638	46.974278247
-121.5722	46.9142	8.07	1.65814881124	-0.060106946186	-121.569470895	46.9742780619
-120.6797	46.8983	12.71	2.26806951897	-0.0536363356815	-120.676371687	46.9518881479
-120.4388	46.8832	8.15	2.43320270615	-0.0614956769071	-120.434708022	46.9446321174
-120.497	46.895	17.02	2.39293679139	-0.0514997891598	-120.493628977	46.9464482949
-120.5905	46.9857	8.42	2.32516184949	0.0362973329446	-120.592812704	46.9494369939
-121.9635	46.9562	16.80	1.38987161657	-0.0257350357713	-121.962519625	46.9819263387
